name,loc,val,date
626,35.6692859185304 139.732830979,37.9952076677316,"May 24, 2011 4:49 PM"
1699,35.6557045772023 139.737482383,37.3078281341966,"May 24, 2011 4:46 PM"
1149,35.6549179300841 139.744904370,37.5813751087903,"Apr 23, 2011 10:39 PM"
753,35.6505539508632 139.744783235,39.4780876494024,"Apr 23, 2011 10:41 PM"
456,35.6464977375731 139.744244861,39.8771929824561,"Apr 23, 2011 10:12 PM"
124,35.6426006586021 139.743795766,37.6774193548387,"Apr 23, 2011 10:12 PM"
1101,35.6417409143202 139.740704939,38.4795640326975,"Apr 23, 2011 10:12 PM"
131,35.6376367175573 139.739036552,38.9236641221374,"Apr 23, 2011 10:10 PM"
518,35.646734552767 139.7378991216,37.8667953667954,"Apr 23, 2011 9:58 PM"
525,35.6463612698413 139.733953844,36.7409523809524,"Apr 23, 2011 9:57 PM"
2,35.64988 139.735444166665,40.5,"Jan 21, 2012 2:54 PM"
550,35.6506349060606 139.737254787,36.9327272727273,"May 25, 2011 10:19 AM"
590,35.656707460452 139.7344765028,36.9898305084746,"Aug 9, 2011 11:23 AM"
1723,35.6597255697427 139.732548928,37.8328496807893,"Aug 9, 2011 11:28 AM"
1066,35.6685575422138 139.726835636,38.0018761726079,"Jul 4, 2011 6:39 AM"
671,35.6640324565325 139.714918810,39.3800298062593,"May 22, 2011 8:31 AM"
2260,35.6639672160767 139.711096759,39.291592920354,"May 22, 2011 8:27 AM"
1282,35.6684821801872 139.709575340,45.1294851794072,"May 6, 2011 1:55 AM"
312,35.6642654807693 139.694044417,37.6794871794872,"Oct 2, 2011 1:53 PM"
148,35.6636549549549 139.698789211,38.3513513513514,"Nov 1, 2011 4:53 AM"
764,35.6631440575916 139.687450953,37.5183246073298,"May 24, 2011 4:59 PM"
1058,35.6551210916824 139.721970957,35.5406427221172,"Jun 17, 2011 12:50 PM"
1032,35.6504194541343 139.721911623,38.8517441860465,"Jun 17, 2011 12:48 PM"
610,35.6499338606557 139.715025920,39.8901639344262,"Jul 6, 2011 1:55 AM"
